match_id,kills,deaths,assists,game_duration,game_creation,damage_dealt,damage_taken,gold_earned,wards_placed,wards_destroyed,creep_score,damage_per_minute,gold_per_minute,damage_mitigated,gold_spent,vision_score,control_wards_purchased,cs_per_minute,gold_diff_10,xp_diff_10,towers_destroyed,dragons_secured,rift_herald_secured,barons_secured,objective_control_percentage,crowd_control_score,healing_done,shielding_done,damage_to_structures,kill_participation,damage_percentage,vision_score_per_minute,average_time_spent_dead,game_outcome,performance_grade,team_contribution,pings_used,chat_messages,player_role,champion_played,ranked_tier
JP1_478682868,5,6,7,1316,1731141835240,12388,16974,6414,0,0,49,564.543822372824,292.3353648805573,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
JP1_447334481,0,7,4,1693,1716041959944,5645,17797,7464,1,0,120,199.96595803197877,264.39503185583845,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
JP1_447328378,1,2,1,1322,1716040478177,6169,9864,6542,5,1,112,279.8250591947023,296.77043525076624,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
JP1_424727350,3,3,3,1011,1704098288530,5200,12507,5591,5,0,13,308.4870986905173,331.7063453171913,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
JP1_424051143,0,8,2,1273,1703690509852,5283,13977,4602,0,0,65,248.93834628368168,216.84737473401432,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
JP1_424044158,4,8,1,2197,1703687425887,13676,26467,10886,6,0,141,373.4393951860821,297.24824729062567,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
JP1_423516800,2,6,0,942,1703325827632,6051,8633,3867,0,0,45,385.3448369203003,246.2762379103976,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
JP1_423512642,3,6,7,1892,1703323713469,13286,18762,9835,4,2,112,421.11566512290835,311.72237093285406,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
JP1_423509642,0,5,2,1359,1703322054972,2368,12255,4646,2,0,65,104.51162506932499,205.02613619927854,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
JP1_422096940,2,6,4,1606,1702385606351,2875,14768,5649,3,1,7,107.36828610840918,210.93997478913693,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
JP1_421028267,0,12,3,1688,1701785362196,2457,21138,6120,1,1,97,87.28836733986161,217.39598860889265,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
JP1_421018961,3,10,14,2254,1701782727301,7331,30776,9726,6,0,26,195.07563377477857,258.7977417730157,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
JP1_421014674,3,8,4,914,1701781605312,4476,9854,4418,0,2,9,293.6341212493791,289.85738803410726,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
JP1_421008532,1,5,2,1404,1701779756592,4025,12403,5492,0,0,76,171.93400501185005,234.60343517266855,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
JP1_420886982,0,0,0,127,1701694187448,0,0,535,0,0,0,0.0,252.4735529728365,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
JP1_420881090,3,8,4,1563,1701692166052,8848,21673,8225,3,0,14,339.53376766068817,315.64898652127926,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
JP1_420577126,4,6,4,1964,1701514994704,6725,25286,9472,6,0,16,205.31951973074956,289.1906065922869,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
JP1_420569760,1,14,5,2100,1701512459659,4146,24209,7388,3,0,14,118.43089364087419,211.04753993273184,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
JP1_420051493,2,2,8,975,1701181310640,1876,2478,4939,1,0,3,115.39729641166285,303.7533984363085,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
JP1_412473041,2,10,19,1717,1695898549682,17363,19626,8652,0,0,32,606.5247839890858,302.25494328737057,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
JP1_409324819,0,2,0,911,1693407963521,0,5966,3025,1,0,0,0.0,199.04173167571454,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
JP1_405135075,2,2,6,973,1690092464943,4116,5804,5192,1,0,28,253.80517881367655,320.11041066908206,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
JP1_402256169,31,0,4,1180,1688035309242,29324,12252,13121,0,0,66,1489.2930102887742,666.3796438870103,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
